UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY (GE14),TOTAL ELECTORATE (GE14),ETHNIC CLASSIFICATION (2018),MEDIAN MONTHLY HOUSEHOLD GROSS INCOME (2019),MEAN MONTHLY HOUSEHOLD GROSS INCOME (2019),GINI COEFFICIENT (2019),ABSOLUTE POVERTY INCIDENCE (%) (2019)
P.  195,SARAWAK,P. 195,BANDAR KUCHING,PH - DAP,81856,CHINESE MAJORITY (60% AND ABOVE),5473,7712,0.418,4.3
P.  196,SARAWAK,P. 196,STAMPIN,PH - DAP,66240,CHINESE MAJORITY (60% AND ABOVE),6089,7765,0.364,3
P.  197,SARAWAK,P. 197,KOTA SAMARAHAN,BN - PBB,46300,MALAY MAJORITY (60 % AND ABOVE),5281,6406,0.343,7.7
P.  198,SARAWAK,P. 198,PUNCAK BORNEO,PH - PKR,46180,BUMIPUTERA SARAWAK (60% AND ABOVE),3780,4920,0.348,11
P.  199,SARAWAK,P. 199,SERIAN,BN - SUPP,37629,BUMIPUTERA SARAWAK (60% AND ABOVE),3274,4558,0.387,20.8
P.  200,SARAWAK,P. 200,BATANG SADONG,BN - PBB,23213,MALAY MAJORITY (60 % AND ABOVE),2935,4089,0.377,18.4
P.  201,SARAWAK,P. 201,BATANG LUPAR,BN - PBB,29811,MALAY MAJORITY (60 % AND ABOVE),2579,3316,0.325,28.4
P.  202,SARAWAK,P. 202,SRI AMAN,BN - PRS,33016,BUMIPUTERA SARAWAK (60% AND ABOVE),3383,4496,0.367,9.3
P.  203,SARAWAK,P. 203,LUBOK ANTU,INDEPENDENT - KEY,20801,BUMIPUTERA SARAWAK (60% AND ABOVE),2820,3809,0.361,8.8
P.  204,SARAWAK,P. 204,BETONG,BN - PBB,29145,BUMIPUTERA SARAWAK (50 - 59.99%),2764,3996,0.372,23
P.  205,SARAWAK,P. 205,SARATOK,PH - PKR,30517,BUMIPUTERA SARAWAK (50 - 59.99%),3004,3829,0.345,17.6
P.  206,SARAWAK,P. 206,TANJONG MANIS,BN - PBB,21899,BUMIPUTERA SARAWAK (60% AND ABOVE),2991,3803,0.337,14.8
P.  207,SARAWAK,P. 207,IGAN,BN - PBB,19592,BUMIPUTERA SARAWAK (60% AND ABOVE),2980,3968,0.37,21.8
P.  208,SARAWAK,P. 208,SARIKEI,PH - DAP,39561,CHINESE MAJORITY (60% AND ABOVE),3499,4725,0.381,9.1
P.  209,SARAWAK,P. 209,JULAU,INDEPENDENT - CHAIR,25380,BUMIPUTERA SARAWAK (60% AND ABOVE),2625,3286,0.343,18.1
P.  210,SARAWAK,P. 210,KANOWIT,BN - PRS,21022,BUMIPUTERA SARAWAK (60% AND ABOVE),2670,3480,0.387,21.9
P.  211,SARAWAK,P. 211,LANANG,PH - DAP,61973,CHINESE MAJORITY (60% AND ABOVE),4468,5658,0.354,10.8
P.  212,SARAWAK,P. 212,SIBU,PH - DAP,74149,CHINESE MAJORITY (60% AND ABOVE),5099,6592,0.37,4
P.  213,SARAWAK,P. 213,MUKAH,BN - PBB,30608,BUMIPUTERA SARAWAK (60% AND ABOVE),3830,5210,0.379,10.3
P.  214,SARAWAK,P. 214,SELANGAU,PH - PKR,30026,BUMIPUTERA SARAWAK (60% AND ABOVE),3445,4303,0.349,11.1
P.  215,SARAWAK,P. 215,KAPIT,BN - PBB,30658,BUMIPUTERA SARAWAK (60% AND ABOVE),2976,4028,0.356,4.7
P.  216,SARAWAK,P. 216,HULU RAJANG,BN - PRS,27520,BUMIPUTERA SARAWAK (60% AND ABOVE),3574,4320,0.316,6.1
P.  217,SARAWAK,P. 217,BINTULU,BN - PDP,65049,BUMIPUTERA SARAWAK (60% AND ABOVE),6368,7654,0.34,2.4
P.  218,SARAWAK,P. 218,SIBUTI,BN - PBB,31868,BUMIPUTERA SARAWAK (50 - 59.99%),4704,5834,0.335,7.9
P.  219,SARAWAK,P. 219,MIRI,PH - PKR,80386,CHINESE MAJORITY (50 - 59.99%),6176,7602,0.355,4
P.  220,SARAWAK,P. 220,BARAM,BN - PDP,35685,BUMIPUTERA SARAWAK (60% AND ABOVE),3267,4394,0.366,14.4
P.  221,SARAWAK,P. 221,LIMBANG,BN - PBB,26409,MIXED,4628,5989,0.382,11
P.  222,SARAWAK,P. 222,LAWAS,BN - PBB,21297,MIXED,4006,5222,0.382,14.6
